id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,form,avg_pts/fixture,avg_pts/fixture_played,MeanAbsDev(form),MeanAbsDev(avg_pts/fixture),MeanAbsDev(avg_pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw8Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
76,Philip,Billing,MID,BOU,~,"Philip (MID, ~)",2,2,5,0.0,0.28571428571,1.0,0.0,0.40816326531,0.0,0.10913314607,-6,0.0,0,0.0,-4,0.0,0.0,1,0,0,0.0,~
84,Mark,Travers,GKP,BOU,~,"Travers (GKP, ~)",2,1,6,0.0,0.28571428571,2.0,0.0,0.48979591837,0.0,0.10913314607,-6,0.0,-5,0.0,0,0.0,0.0,1,0,0,0.0,~
59,Max,Aarons,DEF,BOU,~,"Aarons (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,-5,0.0,0,0.0,0.0,1,0,0,0.0,~
60,Tyler,Adams,MID,BOU,~,"Adams (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,0,0.0,-4,0.0,0.0,1,0,0,0.0,~
61,Jaidon,Anthony,MID,BOU,~,"Anthony (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,0,0.0,-4,0.0,0.0,1,0,0,0.0,~
66,Romain,Faivre,MID,BOU,~,"Faivre (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,0,0.0,-4,0.0,0.0,1,0,0,0.0,~
67,Hamed,Traorè,MID,BOU,~,"H.Traorè (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,0,0.0,-4,0.0,0.0,1,0,0,0.0,~
68,James,Hill,DEF,BOU,~,"Hill (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,-5,0.0,0,0.0,0.0,1,0,0,0.0,~
72,Chris,Mepham,DEF,BOU,~,"Mepham (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,-5,0.0,0,0.0,0.0,1,0,0,0.0,~
75,Alex,Paulsen,GKP,BOU,~,"Paulsen (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,-5,0.0,0,0.0,0.0,1,0,0,0.0,~
599,Will,Dennis,GKP,BOU,~,"Dennis (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,-5,0.0,0,0.0,0.0,1,0,0,0.0,~
99,Bryan,Mbeumo,MID,BRE,3↑,"Mbeumo (MID, 3↑)",51,7,0,8.333333333333334,7.28571428571,7.285714285714286,0.44444444444,3.30612244898,3.30612244898,7.9331784644,1,8.382716049382223,0,0.0,-3,8.185185185186667,8.28395061728,1,2,2,-6.28395061728,4↓
89,Mikkel,Damsgaard,MID,BRE,5↑,"Damsgaard (MID, 5↑)",22,7,0,5.0,3.14285714286,3.142857142857143,3.33333333333,1.95918367347,1.95918367347,4.29063455054,1,5.37037037037,0,0.0,-3,3.88888888889,4.62962962963,1,5,5,0.37037037036999987,~
314,Fábio,Freitas Gouveia Carvalho,MID,BRE,4↑,"Carvalho (MID, 4↑)",18,7,0,4.666666666666667,2.57142857143,2.571428571428572,1.77777777778,1.95918367347,1.95918367347,3.86635692881,1,4.864197530864445,0,0.0,-3,4.074074074073334,4.46913580247,1,1,1,-3.4691358024700003,3↓
88,Nathan,Collins,DEF,BRE,5↑,"Collins (DEF, 5↑)",25,7,0,4.333333333333333,3.57142857143,3.571428571428572,3.77777777778,2.9387755102,2.9387755102,4.04231161048,1,4.753086419753333,1,4.753086419753333,0,0.0,4.75308641975,1,1,1,-3.75308641975,3↓
98,Keane,Lewis-Potter,MID,BRE,3↑,"Lewis-Potter (MID, 3↑)",17,7,0,3.6666666666666665,2.42857142857,2.4285714285714284,1.77777777778,1.4693877551,1.4693877551,3.19375636702,1,3.864197530864444,0,0.0,-3,3.074074074073333,3.46913580247,1,2,2,-1.4691358024699999,1↓
104,Ethan,Pinnock,DEF,BRE,4↑,"Pinnock (DEF, 4↑)",13,7,0,3.333333333333333,1.85714285714,1.8571428571428568,2.44444444444,1.51020408163,1.51020408163,2.7694787453,1,3.604938271604445,1,3.604938271604445,0,0.0,3.6049382716,1,7,7,3.3950617284,3↑
94,Vitaly,Janelt,MID,BRE,2↑,"Janelt (MID, 2↑)",17,7,0,2.6666666666666665,2.42857142857,2.4285714285714284,0.88888888889,0.61224489796,0.61224489796,2.57572237827,1,2.7654320987655554,0,0.0,-3,2.37037037037,2.56790123457,1,2,2,-0.5679012345699999,~
91,Mark,Flekken,GKP,BRE,~,"Flekken (GKP, ~)",19,7,0,2.333333333333333,2.71428571429,2.7142857142857144,0.44444444444,0.61224489796,0.61224489796,2.47884419476,1,2.382716049382222,1,2.382716049382222,0,0.0,2.38271604938,1,4,4,1.61728395062,1↑
101,Christian,Nørgaard,MID,BRE,4↑,"Nørgaard (MID, 4↑)",14,5,2,2.333333333333333,2.0,2.8,3.11111111111,1.42857142857,1.68,2.20601132958,1,2.679012345678889,0,0.0,-3,1.2962962962966669,1.98765432099,1,1,1,-0.98765432099,~
106,Kevin,Schade,MID,BRE,~,"Schade (MID, ~)",14,7,0,1.3333333333333333,2.0,2.0,0.44444444444,1.14285714286,1.14285714286,1.58797734083,1,1.382716049382222,0,0.0,-3,1.1851851851866666,1.28395061728,1,2,2,0.7160493827200001,~
338,Sepp,van den Berg,DEF,BRE,~,"Van den Berg (DEF, ~)",6,5,2,1.3333333333333333,0.85714285714,1.2,0.44444444444,0.48979591837,0.32,1.15144475655,1,1.382716049382222,1,1.382716049382222,0,0.0,1.38271604938,1,1,1,-0.3827160493799999,~
111,Yehor,Yarmoliuk,MID,BRE,~,"Yarmoliuk (MID, ~)",4,4,3,1.0,0.57142857143,1.0,0.66666666667,0.65306122449,0.5,0.83630028089,1,1.0740740740744443,0,0.0,-3,0.7777777777766667,0.92592592593,1,1,1,0.07407407407,~
97,Yunus Emre,Konak,MID,BRE,~,"Konak (MID, ~)",3,3,4,1.0,0.42857142857,1.0,0.0,0.48979591837,0.0,0.78173370786,1,1.0,0,0.0,-3,1.0,1.0,1,0,0,-1.0,~
86,Kristoffer,Ajer,DEF,BRE,~,"Ajer (DEF, ~)",7,7,0,0.6666666666666666,1.0,1.0,0.88888888889,0.57142857143,0.57142857143,0.79398867042,1,0.7654320987655555,1,0.7654320987655555,0,0.0,0.76543209877,1,0,0,-0.76543209877,~
105,Mads,Roerslev Rasmussen,DEF,BRE,~,"Roerslev (DEF, ~)",7,6,1,0.6666666666666666,1.0,1.1666666666666667,0.44444444444,0.28571428571,0.27777777778,0.79398867042,1,0.7160493827155555,1,0.7160493827155555,0,0.0,0.71604938272,1,1,1,0.28395061728000004,~
602,Ryan,Trevitt,MID,BRE,~,"Trevitt (MID, ~)",1,1,6,0.3333333333333333,0.14285714286,1.0,0.44444444444,0.24489795918,0.0,0.26057790262,1,0.3827160493822222,0,0.0,-3,0.1851851851866666,0.28395061728,1,0,0,-0.28395061728,~
