id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts_dev,avg_pts/fixture,MeanAbsDev(avg_pts/fixture),med_pts,MedAbsDev(pts),std_pts_dev_played,avg_pts/fixture_played,MeanAbsDev(avg_pts/fixture_played),med_pts_played,MedAbsDev(pts_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw9Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
519,George,Earthy,MID,WHU,?,"Earthy (MID, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,-4,0.0,0.0,1,0,0,0,?
522,Wes,Foderingham,GKP,WHU,?,"Foderingham (GKP, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
529,Nayef,Aguerd,DEF,WHU,?,"N.Aguerd (DEF, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
532,Kurt,Zouma,DEF,WHU,?,"Zouma (DEF, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
643,Kaelan,Casey,DEF,WHU,?,"Casey (DEF, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
533,Rayan,Aït-Nouri,DEF,WOL,?,"Aït-Nouri (DEF, ?)",23,8,0,3.7712361663282534,6.333333333333333,3.555555555555556,9.0,0.0,3.585997071945263,2.875,3.0625,1.0,1.0,3.585997071945263,2.875,3.0625,1.0,1.0,5.01236754443,-7,3.5679012345679006,-7,3.5679012345679006,0,0.0,3.56790123457,1,0,0,0,?
566,Jørgen,Strand Larsen,FWD,WOL,?,"Strand Larsen (FWD, ?)",34,8,0,2.8674417556808756,5.666666666666667,2.444444444444444,6.0,3.0,2.48746859276655,4.25,2.25,3.5,1.5,2.48746859276655,4.25,2.25,3.5,1.5,5.12554815073,-7,3.765432098765433,0,0.0,-1,5.395061728395062,4.58024691358,1,0,0,0,?
541,Matheus,Santos Carneiro Da Cunha,FWD,WOL,?,"Cunha (FWD, ?)",32,8,0,3.299831645537222,4.333333333333333,3.1111111111111107,2.0,0.0,2.958039891549808,4.0,2.75,2.0,0.5,2.958039891549808,4.0,2.75,2.0,0.5,4.20601132958,-7,1.9135802469135803,0,0.0,-1,3.9876543209876543,2.95061728395,1,0,0,0,?
557,Mario,Lemina,MID,WOL,?,"Mario Jr. (MID, ?)",26,8,0,0.0,2.0,0.0,2.0,0.0,2.7726341266023544,3.25,2.125,2.0,0.0,2.7726341266023544,3.25,2.125,2.0,0.0,2.47745751406,-7,2.0,0,0.0,-1,2.0,2.0,1,0,0,0,?
535,Jean-Ricner,Bellegarde,MID,WOL,?,"Bellegarde (MID, ?)",21,8,0,1.4142135623730951,2.0,1.3333333333333333,1.0,0.0,1.653594569415369,2.625,1.375,2.5,1.5,1.653594569415369,2.625,1.375,2.5,1.5,2.23872875703,-7,0.962962962962963,0,0.0,-1,1.8518518518518519,1.40740740741,1,0,0,0,?
559,Nélson,Cabral Semedo,DEF,WOL,?,"N.Semedo (DEF, ?)",9,6,2,0.816496580927726,2.0,0.6666666666666666,2.0,1.0,1.0532687216470449,1.125,0.90625,1.0,1.0,0.9574271077563381,1.5,0.8333333333333334,1.5,0.5,1.66577974016,-7,1.4814814814814814,-7,1.4814814814814814,0,0.0,1.48148148148,1,0,0,0,?
553,João Victor,Gomes da Silva,MID,WOL,?,"J.Gomes (MID, ?)",11,8,0,0.4714045207910317,1.6666666666666667,0.4444444444444444,2.0,0.0,0.6959705453537527,1.375,0.625,1.5,0.5,0.6959705453537527,1.375,0.625,1.5,0.5,1.55525991339,-7,1.3209876543209877,0,0.0,-1,1.617283950617284,1.46913580247,1,0,0,0,?
204,Sam,Johnstone,GKP,WOL,?,"Johnstone (GKP, ?)",10,5,3,0.9428090415820634,1.3333333333333333,0.888888888888889,2.0,0.0,1.0897247358851685,1.25,1.0,1.5,1.0,0.6324555320336759,2.0,0.4,2.0,0.0,1.3015028324,-7,0.6419753086419752,-7,0.6419753086419752,0,0.0,0.64197530864,1,0,0,0,?
642,André,Trindade da Costa Neto,MID,WOL,?,"André (MID, ?)",7,6,2,0.0,1.0,0.0,1.0,0.0,0.5994789404140899,0.875,0.4375,1.0,0.0,0.3726779962499649,1.1666666666666667,0.27777777777777785,1.0,0.0,0.95225424859,-7,1.0,0,0.0,-1,1.0,1.0,1,0,0,0,?
550,Hwang,Hee-chan,MID,WOL,?,"Hee Chan (MID, ?)",7,6,2,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.5994789404140899,0.875,0.4375,1.0,0.0,0.3726779962499649,1.1666666666666667,0.27777777777777785,1.0,0.0,0.74624291901,-7,0.3209876543209876,0,0.0,-1,0.6172839506172839,0.46913580247,1,0,0,0,?
544,Tommy,Doyle,MID,WOL,?,"Doyle (MID, ?)",6,6,2,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.4330127018922193,0.75,0.375,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6984971676,-7,0.3209876543209876,0,0.0,-1,0.6172839506172839,0.46913580247,1,0,0,0,?
548,Gonçalo Manuel,Ganchinho Guedes,MID,WOL,?,"Guedes (MID, ?)",5,5,3,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.4841229182759271,0.625,0.46875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6507514162,-7,0.3209876543209876,0,0.0,-1,0.6172839506172839,0.46913580247,1,0,0,0,?
554,José,Malheiro de Sá,GKP,WOL,?,"José Sá (GKP, ?)",3,3,5,0.9428090415820634,0.6666666666666666,0.888888888888889,0.0,0.0,0.9921567416492215,0.375,0.8125,0.0,0.0,1.4142135623730951,1.0,1.3333333333333333,2.0,0.0,0.55525991339,-7,-0.024691358024691468,-7,-0.024691358024691468,0,0.0,-0.02469135802,1,0,0,0,?
655,Carlos Roberto,Forbs Borges,MID,WOL,?,"Forbs (MID, ?)",3,4,4,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.4841229182759271,0.375,0.46875,0.0,0.0,0.4330127018922193,0.75,0.375,1.0,0.0,0.55525991339,-7,0.3209876543209876,0,0.0,-1,0.6172839506172839,0.46913580247,1,0,0,0,?
