id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,#OfMatches_nxtGWs,tot_xPts,gw31Pts,gw32Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
519,Christian,Eriksen,MID,MUN,75,?,Eriksen (MID),3.8,0.3,2.633,1,2.633,3,0,3,1.13938,~
347,Facundo,Pellistri Rebollo,MID,MUN,3,?,Pellistri (MID),1.0,0.3,0.767,1,0.767,0,0,0,0.0,vv
593,Carlos Henrique,Casimiro,MID,MUN,56,?,Casemiro (MID),2.9,0.0,1.933,1,1.933,3,0,3,1.55199,^
569,Alejandro,Garnacho,MID,MUN,30,?,Garnacho (MID),2.0,0.0,1.333,1,1.333,0,0,0,0.0,vv
326,Cristiano Ronaldo,dos Santos Aveiro,FWD,MUN,20,?,Ronaldo (FWD),2.0,0.0,1.333,1,1.333,0,0,0,0.0,vv
344,Anthony,Elanga,MID,MUN,23,?,Elanga (MID),1.4,0.0,0.933,1,0.933,0,0,0,0.0,vv
336,Donny,van de Beek,MID,MUN,8,?,Van de Beek (MID),1.1,0.0,0.733,1,0.733,0,0,0,0.0,vv
643,Kobbie,Mainoo,MID,MUN,1,?,Mainoo (MID),1.0,0.0,0.667,1,0.667,0,0,0,0.0,vv
162,Jack,Butland,GKP,MUN,0,?,Butland (GKP),0.0,0.0,0.0,1,0.0,0,0,0,,?
328,Phil,Jones,DEF,MUN,0,?,Jones (DEF),0.0,0.0,0.0,1,0.0,0,0,0,,?
334,Alex,Telles,DEF,MUN,0,?,Telles (DEF),0.0,0.0,0.0,1,0.0,0,0,0,,?
339,Eric,Bailly,DEF,MUN,0,?,Bailly (DEF),0.0,0.0,0.0,1,0.0,0,0,0,,?
343,Brandon,Williams,DEF,MUN,0,?,B.Williams (DEF),0.0,0.0,0.0,1,0.0,0,0,0,,?
348,Tom,Heaton,GKP,MUN,0,?,Heaton (GKP),0.0,0.0,0.0,1,0.0,0,0,0,,?
550,Amad,Diallo,MID,MUN,0,?,Amad (MID),0.0,0.0,0.0,1,0.0,0,0,0,,?
