id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw24Pts,gw25Pts,gw26Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
429,Sandro,Tonali,MID,NEW,16,vv,"Tonali (MID, vv)",2.0,0.0,1.236,2.472,0.0,2.472,2.472,9,0,9,3,3.708,0,0,0,0,0.0,vv
432,Joe,Willock,MID,NEW,4,vv,"Willock (MID, vv)",1.3,0.0,0.8034,1.6068,0.0,1.6068,1.6068,9,0,9,3,2.4102,0,0,6,6,2.48942,^^^
581,Paul,Dummett,DEF,NEW,1,vv,"Dummett (DEF, vv)",1.0,0.0,0.618,1.236,1.236,0.0,1.236,9,9,0,3,1.854,0,0,0,0,0.0,vv
634,Alex,Murphy,DEF,NEW,1,vv,"A.Murphy (DEF, vv)",1.0,0.0,0.618,1.236,1.236,0.0,1.236,9,9,0,3,1.854,0,0,0,0,0.0,vv
738,Amadou,Diallo,MID,NEW,1,vv,"Diallo (MID, vv)",1.0,0.0,0.618,1.236,0.0,1.236,1.236,9,0,9,3,1.854,0,0,0,0,0.0,vv
739,Ben,Parkinson,FWD,NEW,1,vv,"Parkinson (FWD, vv)",1.0,0.0,0.618,1.236,0.0,1.236,1.236,9,0,9,3,1.854,0,0,0,0,0.0,vv
745,Michael,Ndiweni,FWD,NEW,1,vv,"Ndiweni (FWD, vv)",1.0,0.0,0.618,1.236,0.0,1.236,1.236,9,0,9,3,1.854,0,0,0,0,0.0,vv
425,Matt,Ritchie,MID,NEW,6,vv,"Ritchie (MID, vv)",0.9,0.0,0.5562,1.1124,0.0,1.1124,1.1124,9,0,9,3,1.6686,0,6,0,6,3.59583,^^^
428,Matt,Targett,DEF,NEW,2,vv,"Targett (DEF, vv)",0.7,0.0,0.4326,0.8652,0.8652,0.0,0.8652,9,9,0,3,1.2978,0,0,0,0,0.0,vv
404,Harrison,Ashby,DEF,NEW,0,?,"Ashby (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0,3,0.0,0,0,0,0,,?
408,Karl,Darlow,GKP,NEW,0,?,"Darlow (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0,3,0.0,0,0,0,0,,?
410,Ryan,Fraser,MID,NEW,0,?,"Fraser (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,3,0.0,0,0,0,0,,?
411,Mark,Gillespie,GKP,NEW,0,?,"Gillespie (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0,3,0.0,0,0,0,0,,?
413,Isaac,Hayden,MID,NEW,0,?,"Hayden (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,3,0.0,0,0,0,0,,?
414,Jeff,Hendrick,MID,NEW,0,?,"Hendrick (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,3,0.0,0,0,0,0,,?
418,Garang,Kuol,MID,NEW,0,?,"Kuol (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,3,0.0,0,0,0,0,,?
420,Jamal,Lewis,DEF,NEW,0,?,"J.Lewis (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0,3,0.0,0,0,0,0,,?
422,Javier,Manquillo Gaitán,DEF,NEW,0,?,"Manquillo (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0,3,0.0,0,0,0,0,,?
426,Allan,Saint-Maximin,MID,NEW,0,?,"Saint-Maximin (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,3,0.0,0,0,0,0,,?
431,Kell,Watts,DEF,NEW,0,?,"Watts (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0,3,0.0,0,0,0,0,,?
580,Loris,Karius,GKP,NEW,0,?,"Karius (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0,3,0.0,0,0,1,1,inf,^^^
794,Joe,White,MID,NEW,0,?,"White (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,3,0.0,0,1,0,1,inf,^^^
795,Travis,Hernes,MID,NEW,0,?,"Hernes (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,3,0.0,0,0,0,0,,?
205,Callum,Hudson-Odoi,MID,NFO,42,^^^,"Hudson-Odoi (MID, ^^^)",3.0,5.3,3.8786,3.4476444444444443,0.0,3.232166666666666,3.33991,-11,0,-12,3,11.6358,9,11,2,22,1.89072,^^
442,Danilo,dos Santos de Oliveira,MID,NFO,29,vv,"Danilo (MID, vv)",1.8,3.7,2.5258,2.245155555555556,0.0,2.104833333333333,2.17499,-11,0,-12,3,7.5774,1,3,2,6,0.79183,~
468,Chris,Wood,FWD,NFO,75,vv,"Wood (FWD, vv)",3.8,3.0,3.4944,3.106133333333333,0.0,2.912,3.00907,-11,0,-12,3,10.4832,0,0,0,0,0.0,vv
437,Taiwo,Awoniyi,FWD,NFO,49,v,"Awoniyi (FWD, v)",4.1,2.3,3.4124,3.033244444444444,0.0,2.8436666666666666,2.93846,-11,0,-12,3,10.2372,2,7,4,13,1.26988,~
712,Nicolás,Domínguez,MID,NFO,43,~,"Dominguez (MID, ~)",3.1,2.3,2.7944,2.4839111111111114,0.0,2.328666666666667,2.40629,-11,0,-12,3,8.3832,6,5,2,13,1.55072,^
808,Matz,Sels,GKP,NFO,2,^^^,"Sels (GKP, ^^^)",2.0,2.0,2.0,1.7777777777777777,1.5555555555555556,0.0,1.66667,-11,-13,0,3,6.0,1,8,0,9,1.5,^
679,Gonzalo,Montiel,DEF,NFO,20,v,"G.Montiel (DEF, v)",2.2,1.7,2.009,1.7857777777777777,1.5625555555555557,0.0,1.67417,-11,-13,0,3,6.027,0,0,0,0,0.0,vv
