id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw3Pts,gw4Pts,gw5Pts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
599,Moussa,Diaby,MID,AVL,10,?,"Diaby (MID, ?)",5.0,5.0,5.0,11,55.0,6,0.0,9,45.0,50.0,4,20.0,0,0,0,0,0,0,?
42,Lucas,Digne,DEF,AVL,9,?,"Digne (DEF, ?)",4.5,4.5,4.5,11,49.5,6,27.0,9,0.0,38.25,4,18.0,0,0,0,0,0,0,?
49,Emiliano,Martínez Romero,GKP,AVL,9,?,"Martinez (GKP, ?)",4.5,4.5,4.5,11,49.5,6,27.0,9,0.0,38.25,4,18.0,0,0,0,0,0,0,?
43,Douglas Luiz,Soares de Paulo,MID,AVL,8,?,"Douglas Luiz (MID, ?)",4.0,4.0,4.0,11,44.0,6,0.0,9,36.0,40.0,4,16.0,0,0,0,0,0,0,?
44,Jhon,Durán,FWD,AVL,7,?,"Duran (FWD, ?)",7.0,3.5,5.833,11,64.163,6,0.0,9,52.497,58.33,4,23.332,0,0,0,0,0,0,?
48,Ezri,Konsa Ngoyo,DEF,AVL,6,?,"Konsa (DEF, ?)",3.0,3.0,3.0,11,33.0,6,18.0,9,0.0,25.5,4,12.0,0,0,0,0,0,0,?
584,Pau,Torres,DEF,AVL,6,?,"Pau (DEF, ?)",3.0,3.0,3.0,11,33.0,6,18.0,9,0.0,25.5,4,12.0,0,0,0,0,0,0,?
36,Matty,Cash,DEF,AVL,5,?,"Cash (DEF, ?)",2.5,2.5,2.5,11,27.5,6,15.0,9,0.0,21.25,4,10.0,0,0,0,0,0,0,?
47,Boubacar,Kamara,MID,AVL,5,?,"Kamara (MID, ?)",2.5,2.5,2.5,11,27.5,6,0.0,9,22.5,25.0,4,10.0,0,0,0,0,0,0,?
38,Philippe,Coutinho Correia,MID,AVL,2,?,"Coutinho (MID, ?)",1.0,1.0,1.0,11,11.0,6,0.0,9,9.0,10.0,4,4.0,0,0,0,0,0,0,?
58,Youri,Tielemans,MID,AVL,2,?,"Tielemans (MID, ?)",1.0,1.0,1.0,11,11.0,6,0.0,9,9.0,10.0,4,4.0,0,0,0,0,0,0,?
54,Jaden,Philogene-Bidace,MID,AVL,1,?,"Philogene (MID, ?)",1.0,0.5,0.833,11,9.163,6,0.0,9,7.497,8.33,4,3.332,0,0,0,0,0,0,?
41,Diego Carlos,Santos Silva,DEF,AVL,1,?,"Diego Carlos (DEF, ?)",0.5,0.5,0.5,11,5.5,6,3.0,9,0.0,4.25,4,2.0,0,0,0,0,0,0,?
32,Alexandre,Moreno Lopera,DEF,AVL,0,?,"Alex Moreno (DEF, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
33,Cameron,Archer,FWD,AVL,0,?,"Archer (FWD, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
