id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw1Pts,gw2Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
142,Jason,Steele,GKP,BHA,42,?,"Steele (GKP, ?)",2.5,0.0,1.25,1.0416666666666667,1.0416666666666667,0.0,1.04167,-3,-3,0,2,2.5,0,0,0,0,?
144,Jan Paul,van Hecke,DEF,BHA,61,?,"Van Hecke (DEF, ?)",2.2,0.0,1.1,0.9166666666666667,0.9166666666666667,0.0,0.91667,-3,-3,0,2,2.2,0,0,0,0,?
117,Facundo,Buonanotte,MID,BHA,57,?,"Buonanotte (MID, ?)",2.1,0.0,1.05,0.875,0.0,0.875,0.875,-3,0,-3,2,2.1,0,0,0,0,?
124,Billy,Gilmour,MID,BHA,61,?,"Gilmour (MID, ?)",2.0,0.0,1.0,0.8333333333333333,0.0,0.8333333333333333,0.83333,-3,0,-3,2,2.0,0,0,0,0,?
134,James,Milner,MID,BHA,28,?,"Milner (MID, ?)",1.9,0.0,0.95,0.7916666666666665,0.0,0.7916666666666665,0.79167,-3,0,-3,2,1.9,0,0,0,0,?
145,Joël,Veltman,DEF,BHA,49,?,"Veltman (DEF, ?)",1.8,0.0,0.9,0.75,0.75,0.0,0.75,-3,-3,0,2,1.8,0,0,0,0,?
147,Adam,Webster,DEF,BHA,26,?,"Webster (DEF, ?)",1.7,0.0,0.85,0.7083333333333333,0.7083333333333333,0.0,0.70833,-3,-3,0,2,1.7,0,0,0,0,?
121,Julio,Enciso,MID,BHA,20,?,"Enciso (MID, ?)",1.7,0.0,0.85,0.7083333333333333,0.0,0.7083333333333333,0.70833,-3,0,-3,2,1.7,0,0,0,0,?
131,Tariq,Lamptey,DEF,BHA,31,?,"Lamptey (DEF, ?)",1.6,0.0,0.8,0.6666666666666667,0.6666666666666667,0.0,0.66667,-3,-3,0,2,1.6,0,0,0,0,?
119,Mahmoud,Dahoud,MID,BHA,14,?,"Dahoud (MID, ?)",1.6,0.0,0.8,0.6666666666666667,0.0,0.6666666666666667,0.66667,-3,0,-3,2,1.6,0,0,0,0,?
128,Igor Julio,dos Santos de Paulo,DEF,BHA,37,?,"Igor (DEF, ?)",1.5,0.0,0.75,0.625,0.625,0.0,0.625,-3,-3,0,2,1.5,0,0,0,0,?
115,Carlos,Baleba,MID,BHA,34,?,"Baleba (MID, ?)",1.3,0.0,0.65,0.5416666666666666,0.0,0.5416666666666666,0.54167,-3,0,-3,2,1.3,0,0,0,0,?
137,Jakub,Moder,MID,BHA,21,?,"Moder (MID, ?)",1.2,0.0,0.6,0.5,0.0,0.5,0.5,-3,0,-3,2,1.2,0,0,0,0,?
139,Odeluga,Offiah,DEF,BHA,4,?,"Offiah (DEF, ?)",1.0,0.0,0.5,0.41666666666666663,0.41666666666666663,0.0,0.41667,-3,-3,0,2,1.0,0,0,0,0,?
116,Valentín,Barco,DEF,BHA,5,?,"Barco (DEF, ?)",0.8,0.0,0.4,0.33333333333333337,0.33333333333333337,0.0,0.33333,-3,-3,0,2,0.8,0,0,0,0,?
114,Benicio,Baker-Boaitey,MID,BHA,4,?,"Baker-Boaitey (MID, ?)",0.8,0.0,0.4,0.33333333333333337,0.0,0.33333333333333337,0.33333,-3,0,-3,2,0.8,0,0,0,0,?
138,Mark,O’Mahony,FWD,BHA,2,?,"O’Mahony (FWD, ?)",0.7,0.0,0.35,0.29166666666666663,0.0,0.29166666666666663,0.29167,-3,0,-3,2,0.7,0,0,0,0,?
118,Amario,Cozier-Duberry,MID,BHA,0,?,"Cozier-Duberry (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
