id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend,(tot_aPts)-(^avgAdv*xPts)
640,Sil,Swinkels,DEF,AVL,0,?,"Swinkels (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
641,Oliwier,Zych,GKP,AVL,0,?,"Zych (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
656,Kadan,Young,MID,AVL,0,?,"Young (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,1,0.0,0,0,,~,0.0
126,Jack,Hinshelwood,MID,BHA,19,?,"Hinshelwood (MID, ?)",3.8,4.7,4.25,1.652777777777778,0.0,1.8888888888888888,1.77083333,-2,0,-1,1,4.25,2,2,0.47058824,~,0.2291666699999999
144,Jan Paul,van Hecke,DEF,BHA,19,?,"Van Hecke (DEF, ?)",3.8,4.0,3.9,1.5166666666666666,1.7333333333333332,0.0,1.625,-2,-1,0,1,3.9,0,0,0.0,2↓,-1.625
148,Danny,Welbeck,FWD,BHA,31,?,"Welbeck (FWD, ?)",6.2,3.3,4.75,1.8472222222222223,0.0,2.111111111111111,1.97916667,-2,0,-1,1,4.75,2,2,0.42105263,~,0.020833330000000094
136,Mitoma,Kaoru,MID,BHA,24,?,"Mitoma (MID, ?)",4.8,3.3,4.05,1.575,0.0,1.7999999999999998,1.6875,-2,0,-1,1,4.05,2,2,0.49382716,~,0.3125
145,Joël,Veltman,DEF,BHA,20,?,"Veltman (DEF, ?)",4.0,3.3,3.65,1.4194444444444445,1.622222222222222,0.0,1.52083333,-2,-1,0,1,3.65,0,0,0.0,1↓,-1.52083333
146,Bart,Verbruggen,GKP,BHA,10,?,"Verbruggen (GKP, ?)",3.3,3.3,3.3,1.2833333333333332,1.4666666666666666,0.0,1.375,-2,-1,0,1,3.3,0,0,0.0,1↓,-1.375
129,João Pedro,Junqueira de Jesus,FWD,BHA,19,?,"João Pedro (FWD, ?)",4.8,3.0,3.9,1.5166666666666666,0.0,1.7333333333333332,1.625,-2,0,-1,1,3.9,0,0,0.0,2↓,-1.625
120,Lewis,Dunk,DEF,BHA,16,?,"Dunk (DEF, ?)",3.2,2.7,2.95,1.1472222222222224,1.3111111111111111,0.0,1.22916667,-2,-1,0,1,2.95,-1,-1,-0.33898305,2↓,-2.2291666699999997
135,Yankuba,Minteh,MID,BHA,13,?,"Minteh (MID, ?)",2.6,2.3,2.45,0.9527777777777778,0.0,1.088888888888889,1.02083333,-2,0,-1,1,2.45,1,1,0.40816327,~,-0.020833330000000094
115,Carlos,Baleba,MID,BHA,7,?,"Baleba (MID, ?)",1.8,2.0,1.9,0.7388888888888888,0.0,0.8444444444444443,0.79166667,-2,0,-1,1,1.9,12,12,6.31578947,6↑,11.20833333
618,Georginio,Rutter,MID,BHA,7,?,"Georginio (MID, ?)",1.8,2.0,1.9,0.7388888888888888,0.0,0.8444444444444443,0.79166667,-2,0,-1,1,1.9,7,7,3.68421053,4↑,6.20833333
600,Yasin,Ayari,MID,BHA,7,?,"Ayari (MID, ?)",1.8,1.7,1.75,0.6805555555555556,0.0,0.7777777777777777,0.72916667,-2,0,-1,1,1.75,1,1,0.57142857,~,0.27083333
113,Simon,Adingra,MID,BHA,14,?,"Adingra (MID, ?)",2.8,1.3,2.05,0.7972222222222222,0.0,0.911111111111111,0.85416667,-2,0,-1,1,2.05,0,0,0.0,~,-0.85416667
121,Julio,Enciso,MID,BHA,3,?,"Enciso (MID, ?)",1.0,0.7,0.85,0.3305555555555555,0.0,0.3777777777777777,0.35416667,-2,0,-1,1,0.85,1,1,1.17647059,~,0.64583333
122,Pervis,Estupiñán,DEF,BHA,2,?,"Estupiñan (DEF, ?)",1.0,0.7,0.85,0.3305555555555555,0.3777777777777777,0.0,0.35416667,-2,-1,0,1,0.85,-1,-1,-1.17647059,1↓,-1.3541666700000001
123,Evan,Ferguson,FWD,BHA,2,?,"Ferguson (FWD, ?)",1.0,0.7,0.85,0.3305555555555555,0.0,0.3777777777777777,0.35416667,-2,0,-1,1,0.85,1,1,1.17647059,~,0.64583333
149,Mats,Wieffer,MID,BHA,7,?,"Wieffer (MID, ?)",3.5,0.3,1.9,0.7388888888888888,0.0,0.8444444444444443,0.79166667,-2,0,-1,1,1.9,1,1,0.52631579,~,0.20833332999999998
134,James,Milner,MID,BHA,5,?,"Milner (MID, ?)",1.7,0.3,1.0,0.3888888888888889,0.0,0.4444444444444444,0.41666667,-2,0,-1,1,1.0,0,0,0.0,~,-0.41666667
628,Ferdi,Kadioglu,DEF,BHA,1,?,"F.Kadıoğlu (DEF, ?)",1.0,0.3,0.65,0.2527777777777777,0.2888888888888888,0.0,0.27083333,-2,-1,0,1,0.65,0,0,0.0,~,-0.27083333
142,Jason,Steele,GKP,BHA,9,?,"Steele (GKP, ?)",4.5,0.0,2.25,0.875,1.0,0.0,0.9375,-2,-1,0,1,2.25,0,0,0.0,~,-0.9375
124,Billy,Gilmour,MID,BHA,3,?,"Gilmour (MID, ?)",1.5,0.0,0.75,0.2916666666666667,0.0,0.3333333333333333,0.3125,-2,0,-1,1,0.75,0,0,0.0,~,-0.3125
141,Jeremy,Sarmiento Morante,MID,BHA,1,?,"Sarmiento (MID, ?)",1.0,0.0,0.5,0.1944444444444444,0.0,0.2222222222222222,0.20833333,-2,0,-1,1,0.5,0,0,0.0,~,-0.20833333
147,Adam,Webster,DEF,BHA,1,?,"Webster (DEF, ?)",1.0,0.0,0.5,0.1944444444444444,0.2222222222222222,0.0,0.20833333,-2,-1,0,1,0.5,-1,-1,-2.0,1↓,-1.20833333
114,Benicio,Baker-Boaitey,MID,BHA,0,?,"Baker-Boaitey (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
