id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw4Pts,gw5Pts,gw6Pts,gw7Pts,gw8Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend,(tot_aPts)-(^avgAdv*xPts)
434,Callum,Hudson-Odoi,MID,NFO,8,?,"Hudson-Odoi (MID, ?)",2.7,2.7,2.7,7.5,0.0,6.0,6.75,5,0,-5,5,13.5,7,4,1,2,3,17,0,5↑,10.25
432,Anthony,Elanga,MID,NFO,6,?,"Elanga (MID, ?)",2.0,2.0,2.0,5.555555555555555,0.0,4.444444444444445,5.0,5,0,-5,5,10.0,3,1,1,1,3,9,0,3↑,4.0
442,Ibrahim,Sangaré,MID,NFO,4,?,"Sangaré (MID, ?)",1.3,1.3,1.3,3.611111111111111,0.0,2.8888888888888893,3.25,5,0,-5,5,6.5,0,0,0,0,0,0,0,3↓,-3.25
425,Willy,Boly,DEF,NFO,3,?,"Boly (DEF, ?)",1.5,1.0,1.25,3.4722222222222223,3.958333333333333,0.0,3.71528,5,12,0,5,6.25,0,0,0,0,0,0,0,3↓,-3.71528
424,Taiwo,Awoniyi,FWD,NFO,3,?,"Awoniyi (FWD, ?)",1.0,1.0,1.0,2.7777777777777777,0.0,2.2222222222222223,2.5,5,0,-5,5,5.0,0,0,1,0,1,2,0,~,-0.5
596,João Pedro,Ferreira Silva,MID,NFO,2,?,"Jota Silva (MID, ?)",1.0,0.7,0.85,2.361111111111111,0.0,1.8888888888888888,2.125,5,0,-5,5,4.25,1,3,1,1,1,7,0,4↑,4.875
620,Ramón,Sosa,MID,NFO,1,?,"Sosa (MID, ?)",1.0,0.5,0.75,2.083333333333333,0.0,1.6666666666666663,1.875,5,0,-5,5,3.75,0,6,1,0,1,8,0,4↑,6.125
429,Danilo,dos Santos de Oliveira,MID,NFO,1,?,"Danilo (MID, ?)",1.0,0.3,0.65,1.805555555555556,0.0,1.4444444444444446,1.625,5,0,-5,5,3.25,0,0,0,0,0,0,0,2↓,-1.625
444,Harry,Toffolo,DEF,NFO,1,?,"Toffolo (DEF, ?)",1.0,0.3,0.65,1.805555555555556,2.0583333333333336,0.0,1.93194,5,12,0,5,3.25,0,0,0,0,0,0,0,2↓,-1.93194
531,James,Ward-Prowse,MID,NFO,1,?,"Ward-Prowse (MID, ?)",1.0,0.3,0.65,1.805555555555556,0.0,1.4444444444444446,1.625,5,0,-5,5,3.25,3,1,2,-1,0,5,0,3↑,3.375
431,Nicolás,Domínguez,MID,NFO,1,?,"Dominguez (MID, ?)",0.5,0.3,0.4,1.1111111111111112,0.0,0.8888888888888888,1.0,5,0,-5,5,2.0,1,0,1,1,2,5,0,3↑,4.0
26,Álex,Moreno Lopera,DEF,NFO,0,?,"Alex Moreno (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,0,5,0.0,6,0,2,2,6,16,0,6↑,16.0
426,Josh,Bowler,MID,NFO,0,?,"Bowler (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,-5,5,0.0,0,0,0,0,0,0,0,~,0.0
427,Carlos Miguel,dos Santos Pereira,GKP,NFO,0,?,"C.Miguel (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
428,Eric,da Silva Moreira,MID,NFO,0,?,"Da Silva Moreira (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,-5,5,0.0,0,0,0,0,0,0,0,~,0.0
430,Emmanuel,Dennis,FWD,NFO,0,?,"Dennis (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,-5,5,0.0,0,0,0,0,0,0,0,~,0.0
435,Alex,Mighten,MID,NFO,0,?,"Mighten (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,-5,5,0.0,0,0,0,0,0,0,0,~,0.0
438,Omar,Richards,DEF,NFO,0,?,"O.Richards (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
439,Lewis,O'Brien,MID,NFO,0,?,"O'Brien (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,-5,5,0.0,0,0,0,0,0,0,0,~,0.0
440,Andrew,Omobamidele,DEF,NFO,0,?,"Omobamidele (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
441,Jonathan,Panzo,DEF,NFO,0,?,"Panzo (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
446,Hwang,Ui-jo,FWD,NFO,0,?,"Ui-jo (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,-5,5,0.0,0,0,0,0,0,0,0,~,0.0
448,Joe,Worrall,DEF,NFO,0,?,"Worrall (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
653,Felipe,Rodrigues da Silva,DEF,NFO,0,?,"Morato (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,0,5,0.0,1,1,0,1,1,4,0,3↑,4.0
474,Sugawara,Yukinari,DEF,SOU,10,?,"Sugawara (DEF, ?)",3.3,3.3,3.3,5.5,7.699999999999999,0.0,6.6,-15,-3,0,5,16.5,1,2,0,1,5,9,0,2↑,2.4000000000000004
469,Alex,McCarthy,GKP,SOU,6,?,"McCarthy (GKP, ?)",3.0,2.0,2.5,4.166666666666667,5.833333333333333,0.0,5.0,-15,-3,0,5,12.5,0,0,0,0,0,0,0,4↓,-5.0
452,Joe,Aribo,MID,SOU,6,?,"Aribo (MID, ?)",2.0,2.0,2.0,3.333333333333333,0.0,2.7777777777777777,3.05556,-15,0,-20,5,10.0,0,1,1,2,9,13,0,5↑,9.94444
471,Will,Smallbone,MID,SOU,5,?,"Smallbone (MID, ?)",1.7,1.7,1.7,2.833333333333333,0.0,2.361111111111111,2.59722,-15,0,-20,5,8.5,0,0,0,0,1,1,0,1↓,-1.59722
476,Kyle,Walker-Peters,DEF,SOU,5,?,"Walker-Peters (DEF, ?)",1.7,1.7,1.7,2.833333333333333,3.9666666666666655,0.0,3.4,-15,-3,0,5,8.5,1,0,0,0,4,5,0,1↑,1.6
518,Flynn,Downes,MID,SOU,5,?,"Downes (MID, ?)",1.7,1.7,1.7,2.833333333333333,0.0,2.361111111111111,2.59722,-15,0,-20,5,8.5,2,1,1,2,2,8,0,4↑,5.40278
584,Ben,Brereton Díaz,MID,SOU,5,?,"Brereton Díaz (MID, ?)",1.7,1.7,1.7,2.833333333333333,0.0,2.361111111111111,2.59722,-15,0,-20,5,8.5,2,1,1,0,0,4,0,1↑,1.40278
463,Adam,Lallana,MID,SOU,4,?,"Lallana (MID, ?)",4.0,1.3,2.65,4.416666666666666,0.0,3.680555555555555,4.04861,-15,0,-20,5,13.25,1,4,0,0,0,5,0,~,0.95139
453,Adam,Armstrong,FWD,SOU,4,?,"Armstrong (FWD, ?)",1.3,1.3,1.3,2.1666666666666665,0.0,1.8055555555555556,1.98611,-15,0,-20,5,6.5,0,1,0,1,0,2,0,~,0.013889999999999958
455,Jan,Bednarek,DEF,SOU,4,?,"Bednarek (DEF, ?)",1.3,1.3,1.3,2.1666666666666665,3.0333333333333337,0.0,2.6,-15,-3,0,5,6.5,1,2,1,0,1,5,0,2↑,2.4
472,Jack,Stephens,DEF,SOU,4,?,"Stephens (DEF, ?)",1.3,1.3,1.3,2.1666666666666665,3.0333333333333337,0.0,2.6,-15,-3,0,5,6.5,-2,0,0,0,0,-2,0,4↓,-4.6
27,Cameron,Archer,FWD,SOU,3,?,"Archer (FWD, ?)",1.0,1.0,1.0,1.6666666666666663,0.0,1.3888888888888888,1.52778,-15,0,-20,5,5.0,0,1,1,7,9,18,0,6↑,16.47222
461,Taylor,Harwood-Bellis,DEF,SOU,3,?,"Harwood-Bellis (DEF, ?)",1.0,1.0,1.0,1.6666666666666663,2.333333333333333,0.0,2.0,-15,-3,0,5,5.0,1,2,7,1,0,11,0,5↑,9.0
608,Tyler,Dibling,MID,SOU,3,?,"Dibling (MID, ?)",1.0,1.0,1.0,1.6666666666666663,0.0,1.3888888888888888,1.52778,-15,0,-20,5,5.0,2,11,1,1,1,16,0,6↑,14.47222
623,Mateus Gonçalo,Espanha Fernandes,MID,SOU,2,?,"M.Fernandes (MID, ?)",1.0,1.0,1.0,1.6666666666666663,0.0,1.3888888888888888,1.52778,-15,0,-20,5,5.0,2,3,1,5,1,12,0,5↑,10.47222
14,Aaron,Ramsdale,GKP,SOU,2,?,"Ramsdale (GKP, ?)",2.0,0.7,1.35,2.25,3.1500000000000004,0.0,2.7,-15,-3,0,5,6.75,3,3,2,2,1,11,0,5↑,8.3
450,Carlos,Alcaraz Durán,MID,SOU,1,?,"Alcaraz (MID, ?)",1.0,0.3,0.65,1.0833333333333333,0.0,0.9027777777777776,0.99306,-15,0,-20,5,3.25,0,0,0,0,0,0,0,~,-0.99306
451,Samuel,Amo-Ameyaw,MID,SOU,1,?,"Amo-Ameyaw (MID, ?)",1.0,0.3,0.65,1.0833333333333333,0.0,0.9027777777777776,0.99306,-15,0,-20,5,3.25,0,0,0,0,0,0,0,~,-0.99306
475,Charlie,Taylor,DEF,SOU,1,?,"Taylor (DEF, ?)",1.0,0.3,0.65,1.0833333333333333,1.5166666666666668,0.0,1.3,-15,-3,0,5,3.25,0,1,1,1,1,4,0,3↑,2.7
459,Samuel,Edozie,MID,SOU,1,?,"Edozie (MID, ?)",0.5,0.3,0.4,0.6666666666666666,0.0,0.5555555555555556,0.61111,-15,0,-20,5,2.0,0,0,0,0,0,0,0,~,-0.61111
188,Lesley,Ugochukwu,MID,SOU,0,?,"Ugochukwu (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,0,-20,5,0.0,2,1,1,0,0,4,0,3↑,4.0
397,Ryan,Fraser,MID,SOU,0,?,"Fraser (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,0,-20,5,0.0,1,1,1,0,-2,1,0,~,1.0
454,Gavin,Bazunu,GKP,SOU,0,?,"Bazunu (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,0,0,0,0,~,0.0
456,Armel,Bella-Kotchap,DEF,SOU,0,?,"Bella-Kotchap (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,0,0,0,0,~,0.0
457,James,Bree,DEF,SOU,0,?,"Bree (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,0,0,0,0,~,0.0
458,Shea,Charles,MID,SOU,0,?,"Charles (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,0,-20,5,0.0,0,0,0,0,0,0,0,~,0.0
460,Ronnie,Edwards,DEF,SOU,0,?,"Edwards (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,0,0,0,0,~,0.0
462,Kamaldeen,Sulemana,MID,SOU,0,?,"Kamaldeen (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,0,-20,5,0.0,0,0,0,0,1,1,0,~,1.0
464,Juan,Larios López,DEF,SOU,0,?,"Larios (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,0,0,0,0,~,0.0
465,Mateusz,Lis,GKP,SOU,0,?,"Lis (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,0,0,0,0,~,0.0
466,Joe,Lumley,GKP,SOU,0,?,"Lumley (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,0,0,0,0,~,0.0
467,Ryan,Manning,DEF,SOU,0,?,"Manning (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,1,3,4,0,3↑,4.0
468,Sékou,Mara,FWD,SOU,0,?,"Mara (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,0,-20,5,0.0,0,0,0,0,0,0,0,~,0.0
470,Paul,Onuachu,FWD,SOU,0,?,"Onuachu (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,0,-20,5,0.0,0,0,0,1,1,2,0,2↑,2.0
473,Ross,Stewart,FWD,SOU,0,?,"Stewart (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,0,-20,5,0.0,1,0,1,1,0,3,0,3↑,3.0
477,Nathan,Wood-Gordon,DEF,SOU,0,?,"Wood (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-3,0,5,0.0,0,0,0,0,0,0,0,~,0.0
